id,wait,Usage
1487,41.66666666666666,Public
1488,15.0,Public
1489,30.0,Public
1490,15.0,Public
1491,20.0,Public
1492,45.0,Public
1493,5.0,Public
1494,5.0,Public
1495,60.0,Public
1496,9.0,Public
1497,120.0,Public
1498,10.0,Public
1499,10.0,Public
1500,30.0,Public
1501,15.0,Public
1502,1.0,Public
1503,10.0,Public
1504,38.333333333333336,Public
1505,29.0,Public
1506,13.0,Public
1507,40.0,Public
1508,45.0,Public
1509,30.0,Public
1510,35.0,Public
1511,45.0,Public
1512,30.0,Public
1513,60.0,Public
1514,2.0,Public
1515,1.0,Public
1516,25.0,Public
1517,35.0,Public
1518,180.0,Public
1519,180.0,Public
1520,60.0,Public
1521,63.0,Public
1522,60.0,Public
1523,5.0,Public
1524,10.0,Public
1525,10.0,Public
1526,70.0,Public
1527,13.0,Public
1528,30.0,Public
1529,30.0,Public
1530,15.0,Public
1531,5.0,Public
1532,38.0,Public
1533,30.0,Public
1534,5.0,Public
1535,67.0,Public
1536,15.0,Public
1537,20.0,Public
1538,15.0,Public
1539,15.0,Public
1540,60.0,Public
1541,8.0,Public
1542,60.0,Public
1543,5.0,Public
1544,30.0,Public
1545,30.0,Public
1546,15.0,Public
1547,60.0,Public
1548,19.5,Public
1549,30.0,Public
1550,180.0,Public
1551,8.0,Public
1552,5.0,Public
1553,15.0,Public
1554,20.0,Public
1555,45.0,Public
1556,18.0,Public
1557,33.0,Public
1558,24.0,Public
1559,60.0,Public
1560,30.0,Public
1561,72.0,Public
1562,5.0,Public
1563,120.0,Public
1564,180.0,Public
1565,5.0,Public
1566,60.0,Public
1567,30.0,Public
1568,20.0,Public
1569,23.0,Public
1570,10.0,Public
1571,45.0,Public
1572,5.0,Public
1573,240.0,Public
1574,5.0,Public
1575,54.0,Public
1576,20.0,Public
1577,150.0,Public
1578,13.0,Public
1579,19.0,Public
1580,20.0,Public
1581,20.0,Public
1582,10.0,Public
1583,15.0,Public
1584,15.0,Public
1585,5.0,Public
1586,20.0,Public
1587,6.0,Public
1588,45.0,Public
1589,10.0,Public
1590,13.0,Public
1591,23.0,Public
1592,45.0,Public
1593,20.0,Public
1594,4.0,Public
1595,30.0,Public
1596,25.0,Public
1597,5.0,Public
1598,30.0,Public
1599,5.0,Public
1600,5.0,Public
1601,20.0,Public
1602,45.0,Public
1603,5.0,Public
1604,15.0,Public
1605,5.0,Public
1606,20.0,Public
1607,26.5,Public
1608,5.0,Public
1609,90.0,Public
1610,5.0,Public
1611,30.0,Public
1612,20.0,Public
1613,23.0,Public
1614,5.0,Public
1615,160.0,Public
1616,10.0,Public
1617,120.0,Public
1618,30.0,Public
1619,30.0,Public
1620,8.0,Public
1621,8.0,Public
1622,45.0,Public
1623,30.0,Public
1624,10.0,Public
1625,10.0,Public
1626,20.0,Public
1627,45.0,Public
1628,20.0,Public
1629,90.0,Public
1630,30.0,Public
1631,20.0,Public
1632,10.0,Public
1633,30.0,Public
1634,90.0,Public
1635,10.0,Public
1636,20.0,Public
1637,150.0,Public
1638,30.0,Public
1639,255.0,Public
1640,30.0,Public
1641,10.0,Public
1642,62.0,Public
1643,10.0,Public
1644,39.0,Public
1645,15.0,Public
1646,15.0,Public
1647,10.0,Public
1648,4.0,Public
1649,10.0,Public
1650,223.0,Public
1651,60.0,Public
1652,5.0,Public
1653,20.0,Public
1654,5.0,Public
1655,15.0,Public
1656,19.0,Public
1657,15.0,Public
1658,90.0,Public
1659,15.0,Public
1660,10.0,Public
1661,30.0,Public
1662,60.0,Public
1663,2.0,Public
1664,18.0,Public
1665,15.0,Public
1666,50.0,Public
1667,20.0,Public
1668,11.5,Public
1669,34.666666666666664,Public
1670,10.0,Public
1671,45.0,Public
1672,4.0,Public
1673,30.0,Public
1674,30.0,Public
1675,15.0,Public
1676,1.0,Public
1677,30.0,Public
1678,25.0,Public
1679,100.0,Public
1680,5.0,Public
1681,11.0,Public
1682,10.0,Public
1683,45.0,Public
1684,15.0,Public
1685,15.0,Public
1686,15.0,Public
1687,20.0,Public
1688,30.0,Public
1689,20.0,Public
1690,1.0,Public
1691,20.0,Public
1692,5.0,Public
1693,30.0,Public
1694,210.0,Public
1695,10.0,Public
1696,30.0,Public
1697,10.0,Public
1698,150.0,Public
1699,1.0,Public
1700,20.0,Public
1701,1.0,Public
1702,360.0,Public
1703,113.0,Public
1704,14.0,Public
1705,15.0,Public
1706,125.0,Public
1707,25.0,Public
1708,5.0,Public
1709,70.0,Public
1710,30.0,Public
1711,51.0,Public
1712,5.0,Public
1713,45.0,Public
1714,60.0,Public
1715,38.0,Public
1716,13.0,Public
1717,32.5,Public
1718,15.0,Public
1719,30.0,Public
1720,9.0,Public
1721,30.0,Public
1722,30.0,Public
1723,38.0,Public
1724,15.0,Public
1725,31.0,Public
1726,30.0,Public
1727,20.0,Public
1728,15.0,Public
1729,240.0,Public
1730,10.0,Public
1731,20.0,Public
1732,10.0,Public
1733,10.0,Public
1734,5.0,Public
1735,240.0,Public
1736,5.0,Public
1737,20.0,Public
1738,20.0,Public
1739,301.0,Public
1740,30.0,Public
1741,90.0,Public
1742,21.0,Public
1743,1.0,Public
1744,20.0,Public
1745,30.0,Public
1746,50.0,Public
1747,18.0,Public
1748,150.0,Public
1749,5.0,Public
1750,68.0,Public
1751,20.0,Public
1752,20.0,Public
1753,20.0,Public
1754,34.0,Public
1755,10.0,Public
1756,35.0,Public
1757,15.0,Public
1758,10.0,Public
1759,20.0,Public
1760,33.0,Public
1761,10.0,Public
1762,20.0,Public
1763,25.0,Public
1764,10.0,Public
1765,15.0,Public
1766,60.0,Public
1767,13.5,Public
1768,10.5,Public
1769,3.0,Public
1770,30.0,Public
1771,1.0,Public
1772,20.0,Public
1773,5.0,Public
1774,45.0,Public
1775,5.0,Public
1776,64.0,Public
1777,5.0,Public
1778,20.0,Public
1779,100.0,Public
1780,18.0,Public
1781,18.0,Public
1782,5.0,Public
1783,10.0,Public
1784,1.0,Public
1785,15.0,Public
1786,10.0,Public
1787,5.0,Public
1788,20.0,Public
1789,30.0,Public
1790,5.0,Public
1791,15.0,Public
1792,10.0,Public
1793,53.0,Public
1794,15.0,Public
1795,48.0,Public
1796,20.0,Public
1797,5.0,Public
1798,5.0,Public
1799,30.0,Public
1800,10.0,Public
1801,5.0,Public
1802,10.0,Public
1803,80.0,Public
1804,300.0,Public
1805,45.0,Public
1806,8.0,Public
1807,5.0,Public
1808,10.0,Public
1809,12.5,Public
1810,5.0,Public
1811,10.0,Public
1812,10.0,Public
1813,43.0,Public
1814,20.0,Public
1815,10.0,Public
1816,5.0,Public
1817,5.0,Public
1818,15.0,Public
1819,20.0,Public
1820,5.0,Public
1821,13.0,Public
1822,15.0,Public
1823,86.0,Public
1824,120.0,Public
1825,5.0,Public
1826,30.0,Public
1827,15.0,Public
1828,10.0,Public
1829,80.0,Public
1830,8.0,Public
1831,5.0,Public
1832,10.0,Public
1833,5.0,Public
1834,5.0,Public
1835,5.0,Public
1836,30.0,Public
1837,136.25,Public
1838,65.0,Public
1839,8.0,Public
1840,30.0,Public
1841,20.0,Public
1842,20.0,Public
1843,5.0,Public
1844,60.0,Public
1845,30.0,Public
1846,10.0,Public
1847,90.0,Public
1848,60.0,Public
1849,20.0,Public
1850,60.0,Public
1851,20.0,Public
1852,60.0,Public
1853,8.0,Public
1854,5.0,Public
1855,15.0,Public
1856,16.0,Public
1857,3.0,Public
1858,28.0,Public
1859,34.0,Public
1860,5.0,Public
1861,25.0,Public
1862,18.0,Public
1863,30.0,Public
1864,60.0,Public
1865,13.0,Public
1866,21.666666666666668,Public
1867,5.0,Public
1868,6.0,Public
1869,30.0,Public
1870,15.0,Public
1871,20.0,Public
1872,60.0,Public
1873,30.0,Public
1874,30.0,Public
1875,60.0,Public
1876,6.0,Public
1877,5.0,Public
1878,30.0,Public
1879,5.0,Public
1880,33.0,Public
1881,20.0,Public
1882,56.0,Public
1883,20.0,Public
1884,20.0,Public
1885,30.0,Public
1886,10.0,Public
1887,19.33333333333333,Public
1888,15.0,Public
1889,30.0,Public
1890,20.0,Public
1891,30.0,Public
1892,205.0,Public
1893,5.0,Public
1894,60.0,Public
1895,20.0,Public
1896,13.0,Public
1897,10.0,Public
1898,14.0,Public
1899,10.0,Public
1900,20.0,Public
1901,60.0,Public
1902,66.0,Public
1903,5.0,Public
1904,18.33333333333333,Public
1905,26.0,Public
1906,10.0,Public
1907,3.0,Public
1908,1.0,Public
1909,5.0,Public
1910,15.0,Public
1911,60.0,Public
1912,73.0,Public
1913,15.0,Public
1914,30.0,Public
1915,61.0,Public
1916,200.0,Public
1917,5.0,Public
1918,5.0,Public
1919,3.0,Public
1920,6.0,Public
1921,3.0,Public
1922,15.0,Public
1923,5.0,Public
1924,15.0,Public
1925,110.0,Public
1926,180.0,Public
1927,15.0,Public
1928,2.0,Public
1929,53.0,Public
1930,30.0,Public
1931,8.0,Public
1932,5.0,Public
1933,10.0,Public
1934,22.5,Public
1935,20.0,Public
1936,10.0,Public
1937,130.0,Public
1938,20.0,Public
1939,10.0,Public
1940,10.0,Public
1941,5.0,Public
1942,21.0,Public
1943,20.0,Public
1944,360.0,Public
1945,32.0,Public
1946,5.0,Public
1947,9.0,Public
1948,15.0,Public
1949,20.0,Public
1950,60.0,Public
1951,6.0,Public
1952,270.0,Public
1953,17.5,Public
1954,180.0,Public
1955,45.0,Public
1956,35.0,Public
1957,20.0,Public
1958,60.0,Public
1959,45.0,Public
1960,30.0,Public
1961,70.0,Public
1962,10.0,Public
1963,90.0,Public
1964,2.0,Public
1965,10.0,Public
1966,30.0,Public
1967,30.0,Public
1968,5.0,Public
1969,300.0,Public
1970,120.0,Public
1971,10.0,Public
1972,10.0,Public
1973,18.0,Public
1974,65.0,Public
1975,60.0,Public
1976,5.0,Public
1977,42.0,Public
1978,15.0,Public
1979,20.0,Public
1980,18.0,Public
1981,60.0,Public
1982,10.0,Public
1983,20.0,Public
1984,30.0,Public
1985,29.33333333333333,Public
1986,8.0,Public
1987,120.0,Public
1988,10.0,Public
1989,15.0,Public
1990,28.0,Public
1991,15.0,Public
1992,70.0,Public
1993,22.0,Public
1994,65.0,Public
1995,22.0,Public
1996,72.0,Public
1997,237.5,Public
1998,50.0,Public
1999,30.0,Public
2000,5.0,Public
2001,10.0,Public
2002,5.0,Public
2003,90.0,Public
2004,30.0,Public
2005,5.0,Public
2006,20.0,Public
2007,10.0,Public
2008,15.0,Public
2009,14.666666666666666,Public
2010,50.0,Public
2011,15.0,Public
2012,5.0,Public
2013,30.0,Public
2014,150.0,Public
2015,15.0,Public
2016,40.0,Public
2017,45.0,Public
2018,30.0,Public
2019,25.0,Public
2020,20.0,Public
2021,11.5,Public
2022,64.5,Public
2023,51.333333333333336,Public
2024,7.0,Public
2025,1.0,Public
2026,5.0,Public
2027,55.0,Public
2028,20.0,Public
2029,120.0,Public
2030,5.0,Public
2031,5.0,Public
2032,81.0,Public
2033,18.0,Public
2034,4.0,Public
2035,18.33333333333333,Public
2036,300.0,Public
2037,5.0,Public
2038,10.0,Public
2039,40.0,Public
2040,5.0,Public
2041,31.0,Public
2042,60.0,Public
2043,10.0,Public
2044,15.0,Public
2045,30.0,Public
2046,20.0,Public
2047,10.0,Public
2048,15.0,Public
2049,20.0,Public
2050,20.0,Public
2051,20.0,Public
2052,10.0,Public
2053,120.0,Public
2054,1.0,Public
2055,15.0,Public
2056,20.0,Public
2057,5.0,Public
2058,10.0,Public
2059,20.0,Public
2060,15.0,Public
2061,15.0,Public
2062,30.0,Public
2063,85.0,Public
2064,15.0,Public
2065,15.0,Public
2066,1.0,Public
2067,15.0,Public
2068,45.0,Public
2069,1.0,Public
2070,10.0,Public
2071,60.0,Public
2072,30.0,Public
2073,30.0,Public
2074,120.0,Public
2075,20.0,Public
2076,45.0,Public
2077,5.0,Public
2078,30.0,Public
2079,105.0,Public
2080,20.0,Public
2081,23.0,Public
2082,31.5,Public
2083,10.0,Public
2084,30.0,Public
2085,30.0,Public
2086,5.0,Public
2087,70.0,Public
2088,23.0,Public
2089,2.0,Public
2090,30.0,Public
2091,10.0,Public
2092,10.0,Public
2093,10.0,Public
2094,28.0,Public
2095,120.0,Public
2096,10.0,Public
2097,23.0,Public
2098,10.0,Public
2099,15.0,Public
2100,15.0,Public
2101,10.0,Public
2102,90.0,Public
2103,420.0,Public
2104,45.0,Public
2105,5.0,Public
2106,28.0,Public
2107,5.0,Public
2108,59.5,Public
2109,30.0,Public
2110,120.0,Public
2111,10.0,Public
2112,180.0,Public
2113,45.0,Public
2114,10.0,Public
2115,120.0,Public
2116,10.0,Public
2117,60.0,Public
2118,5.0,Public
2119,30.0,Public
2120,36.0,Public
2121,5.0,Public
2122,30.0,Public
2123,5.0,Public
2124,60.0,Public
2125,90.0,Public
2126,68.0,Public
2127,10.0,Public
2128,30.0,Public
2129,50.0,Public
2130,105.0,Public
2131,15.0,Public
2132,120.0,Public
2133,90.0,Public
2134,12.0,Public
2135,10.0,Public
2136,30.0,Public
2137,30.0,Public
2138,15.0,Public
2139,90.0,Public
2140,20.0,Public
2141,46.66666666666666,Public
2142,120.0,Public
2143,45.0,Public
2144,300.0,Public
2145,20.5,Public
2146,10.0,Public
2147,20.0,Public
2148,90.0,Public
2149,45.0,Public
2150,20.0,Public
2151,26.666666666666668,Public
2152,180.0,Public
2153,61.0,Public
2154,33.0,Public
2155,5.0,Public
2156,4.0,Public
2157,20.0,Public
2158,15.0,Public
2159,40.5,Public
2160,20.0,Public
2161,10.0,Public
2162,45.0,Public
2163,40.0,Public
2164,13.0,Public
2165,120.0,Public
2166,20.0,Public
2167,5.0,Public
2168,85.0,Public
2169,6.0,Public
2170,13.333333333333334,Public
2171,45.0,Public
2172,30.0,Public
2173,12.0,Public
2174,1.0,Public
2175,25.0,Public
2176,105.0,Public
2177,48.0,Public
2178,45.0,Public
2179,23.0,Public
2180,39.0,Public
2181,17.0,Public
2182,99.0,Public
2183,15.0,Public
2184,5.0,Public
2185,5.0,Public
2186,5.0,Public
2187,3.0,Public
2188,5.0,Public
2189,25.0,Public
2190,21.0,Public
2191,10.0,Public
2192,20.0,Public
2193,30.0,Public
2194,20.0,Public
2195,90.0,Public
2196,30.0,Public
2197,15.0,Public
2198,15.0,Public
2199,100.0,Public
2200,16.0,Public
2201,60.0,Public
2202,30.0,Public
2203,60.0,Public
2204,65.0,Public
2205,90.0,Public
2206,45.0,Public
2207,5.0,Public
2208,110.0,Public
2209,12.0,Public
2210,15.0,Public
2211,5.0,Public
2212,5.0,Public
2213,15.0,Public
2214,20.0,Public
2215,60.0,Public
2216,10.0,Public
2217,24.0,Public
2218,7.0,Public
2219,20.0,Public
2220,20.0,Public
2221,42.0,Public
2222,10.0,Public
2223,72.0,Public
2224,71.5,Public
2225,10.0,Public
2226,8.333333333333334,Public
2227,20.0,Public
2228,5.0,Public
2229,22.0,Public
2230,5.0,Public
2231,15.0,Public
2232,5.0,Public
2233,10.0,Public
2234,10.0,Public
2235,61.0,Public
2236,10.0,Public
2237,80.0,Public
2238,10.0,Public
2239,5.0,Public
2240,45.0,Public
2241,8.0,Public
2242,30.0,Public
2243,15.0,Public
2244,5.0,Public
2245,70.0,Public
2246,15.0,Public
2247,30.0,Public
2248,2.0,Public
2249,45.0,Public
2250,2.0,Public
2251,180.0,Public
2252,58.0,Public
2253,45.0,Public
2254,45.0,Public
2255,35.0,Public
2256,10.0,Public
2257,20.0,Public
2258,10.0,Public
2259,20.0,Public
2260,15.0,Public
2261,27.0,Public
2262,16.0,Public
2263,45.0,Public
2264,5.0,Public
2265,5.0,Public
2266,5.0,Public
2267,10.0,Public
2268,16.0,Public
2269,100.0,Public
2270,180.0,Public
2271,15.0,Public
2272,10.0,Public
2273,10.0,Public
2274,56.0,Public
2275,20.0,Public
2276,22.0,Public
2277,13.0,Public
2278,60.0,Public
2279,10.0,Public
2280,45.0,Public
2281,10.0,Public
2282,90.0,Public
2283,12.0,Public
2284,60.0,Public
2285,60.0,Public
2286,180.0,Public
2287,40.0,Public
2288,67.5,Public
2289,6.5,Public
2290,20.0,Public
2291,192.5,Public
2292,10.0,Public
2293,10.0,Public
2294,30.0,Public
2295,10.0,Public
2296,9.5,Public
2297,30.0,Public
2298,30.0,Public
2299,45.0,Public
2300,13.0,Public
2301,120.0,Public
2302,1.0,Public
2303,120.0,Public
2304,5.0,Public
2305,5.0,Public
2306,15.0,Public
2307,15.0,Public
2308,30.0,Public
2309,240.0,Public
2310,5.0,Public
2311,45.0,Public
2312,28.0,Public
2313,13.0,Public
2314,90.0,Public
2315,5.0,Public
2316,10.0,Public
2317,121.0,Public
2318,5.0,Public
2319,30.0,Public
2320,5.0,Public
2321,90.0,Public
2322,53.0,Public
2323,5.0,Public
2324,28.0,Public
2325,10.0,Public
2326,19.0,Public
2327,30.0,Public
2328,102.0,Public
2329,2.0,Public
2330,10.0,Public
2331,20.0,Public
2332,30.0,Public
2333,7.0,Public
2334,5.0,Public
2335,13.0,Public
2336,30.0,Public
2337,20.0,Public
2338,15.0,Public
2339,75.0,Public
2340,20.0,Public
2341,45.0,Public
2342,20.0,Public
2343,10.0,Public
2344,30.0,Public
2345,20.0,Public
2346,180.0,Public
2347,10.0,Public
2348,65.0,Public
2349,70.66666666666667,Public
2350,10.0,Public
2351,10.0,Public
2352,5.0,Public
2353,10.0,Public
2354,30.0,Public
2355,10.0,Public
2356,5.0,Public
2357,10.0,Public
2358,20.0,Public
2359,204.0,Public
2360,120.0,Public
2361,20.0,Public
2362,30.0,Public
2363,20.0,Public
2364,108.0,Public
2365,10.0,Public
2366,18.0,Public
2367,26.0,Public
2368,30.0,Public
2369,5.0,Public
2370,20.0,Public
2371,30.0,Public
2372,10.0,Public
2373,10.0,Public
2374,30.0,Public
2375,5.0,Public
2376,15.0,Public
2377,15.0,Public
2378,40.0,Public
2379,45.0,Public
2380,30.0,Public
2381,45.0,Public
2382,5.0,Public
2383,15.0,Public
2384,30.0,Public
2385,10.0,Public
2386,60.0,Public
2387,10.0,Public
2388,30.0,Public
2389,20.0,Public
2390,17.0,Public
2391,59.0,Public
2392,36.0,Public
2393,10.0,Public
2394,10.0,Public
2395,5.0,Public
2396,15.0,Public
2397,5.0,Public
2398,35.0,Public
2399,10.0,Public
2400,20.0,Public
2401,10.0,Public
2402,20.0,Public
2403,5.0,Public
2404,5.0,Public
2405,5.0,Public
2406,27.0,Public
2407,15.0,Public
2408,60.0,Public
2409,32.0,Public
2410,45.0,Public
2411,10.0,Public
2412,26.666666666666668,Public
2413,30.0,Public
2414,90.0,Public
2415,90.0,Public
2416,54.333333333333336,Public
2417,150.0,Public
2418,15.0,Public
2419,5.0,Public
2420,47.0,Public
2421,15.0,Public
2422,1.0,Public
2423,17.0,Public
2424,15.0,Public
2425,13.0,Public
2426,5.0,Public
2427,55.0,Public
2428,20.0,Public
2429,15.0,Public
2430,150.0,Public
2431,10.0,Public
2432,5.0,Public
2433,15.0,Public
2434,15.0,Public
2435,20.0,Public
2436,23.0,Public
2437,70.0,Public
2438,6.0,Public
2439,10.0,Public
2440,30.0,Public
2441,20.0,Public
2442,15.0,Public
2443,53.0,Public
2444,13.0,Public
2445,15.0,Public
2446,60.0,Public
2447,5.0,Public
2448,10.0,Public
2449,30.0,Public
2450,960.0,Public
2451,120.0,Public
2452,15.0,Public
2453,30.0,Public
2454,5.0,Public
2455,3.0,Public
2456,77.66666666666667,Public
2457,23.0,Public
2458,30.0,Public
2459,10.0,Public
2460,19.0,Public
2461,25.0,Public
2462,120.0,Public
2463,10.0,Public
2464,60.0,Public
2465,20.0,Public
2466,45.0,Public
2467,10.0,Public
2468,1.0,Public
2469,30.0,Public
2470,5.0,Public
2471,30.0,Public
2472,30.0,Public
2473,33.0,Public
2474,25.0,Public
2475,20.0,Public
2476,20.0,Public
2477,5.0,Public
2478,28.0,Public
2479,65.0,Public
2480,10.0,Public
2481,20.0,Public
2482,24.0,Public
2483,23.0,Public
2484,263.0,Public
2485,60.0,Public
2486,123.0,Public
2487,720.0,Public
2488,15.0,Public
2489,15.0,Public
2490,10.0,Public
2491,10.0,Public
2492,1.0,Public
2493,10.0,Public
2494,5.0,Public
2495,704.0,Public
2496,5.0,Public
2497,18.0,Public
2498,15.0,Public
2499,15.0,Public
2500,15.0,Public
2501,180.0,Public
2502,48.0,Public
2503,10.0,Public
2504,30.0,Public
2505,120.0,Public
2506,13.0,Public
2507,83.0,Public
2508,90.0,Public
2509,4.0,Public
2510,35.0,Public
2511,45.0,Public
2512,39.0,Public
2513,35.0,Public
2514,30.0,Public
2515,180.0,Public
2516,115.0,Public
2517,81.0,Public
2518,22.0,Public
2519,15.0,Public
2520,10.0,Public
2521,60.0,Public
2522,5.0,Public
2523,5.0,Public
2524,10.0,Public
2525,30.0,Public
2526,10.0,Public
2527,37.0,Public
2528,70.0,Public
2529,20.0,Public
2530,7.0,Public
2531,60.0,Public
2532,62.0,Public
2533,23.0,Public
2534,30.0,Public
2535,10.0,Public
2536,20.0,Public
2537,300.0,Public
2538,40.0,Public
2539,15.0,Public
2540,20.0,Public
2541,20.0,Public
2542,183.0,Public
2543,32.0,Public
2544,10.0,Public
2545,15.0,Public
2546,18.0,Public
2547,15.0,Public
2548,17.333333333333332,Public
2549,21.0,Public
2550,7.0,Public
2551,23.0,Public
2552,45.0,Public
2553,75.0,Public
2554,150.0,Public
2555,1140.0,Public
2556,5.0,Public
2557,20.0,Public
2558,30.0,Public
2559,5.0,Public
2560,120.0,Public
2561,120.0,Public
2562,15.0,Public
2563,10.0,Public
2564,40.0,Public
2565,5.0,Public
2566,30.0,Public
2567,10.0,Public
2568,10.0,Public
2569,20.0,Public
2570,131.0,Public
2571,180.0,Public
2572,1.0,Public
2573,30.0,Public
2574,70.0,Public
2575,45.0,Public
2576,42.0,Public
2577,100.0,Public
2578,5.0,Public
2579,20.0,Public
2580,15.0,Public
2581,20.0,Public
2582,5.0,Public
2583,21.666666666666668,Public
2584,10.0,Public
2585,20.0,Public
2586,5.0,Public
2587,60.0,Public
2588,30.0,Public
2589,45.0,Public
2590,60.0,Public
2591,60.0,Public
2592,5.0,Public
2593,60.0,Public
2594,30.0,Public
2595,5.0,Public
2596,120.0,Public
2597,120.0,Public
2598,13.0,Public
2599,520.0,Public
2600,5.0,Public
2601,10.0,Public
2602,6.0,Public
2603,30.0,Public
2604,45.0,Public
2605,15.0,Public
2606,45.0,Public
2607,20.0,Public
2608,50.0,Public
2609,20.0,Public
2610,5.0,Public
2611,35.0,Public
2612,20.0,Public
2613,20.0,Public
2614,45.0,Public
2615,20.0,Public
2616,35.0,Public
2617,5.0,Public
2618,5.0,Public
2619,74.0,Public
2620,26.666666666666668,Public
2621,0.0,Public
2622,30.0,Public
2623,14.5,Public
2624,20.0,Public
2625,35.0,Public
2626,10.0,Public
2627,13.0,Public
2628,26.0,Public
2629,30.0,Public
2630,15.0,Public
2631,33.0,Public
2632,22.0,Public
2633,0.0,Public
2634,5.0,Public
2635,204.0,Public
2636,13.0,Public
2637,42.0,Public
2638,0.0,Public
2639,15.0,Public
2640,60.0,Public
2641,10.0,Public
2642,20.0,Public
2643,45.0,Public
2644,10.0,Public
2645,60.0,Public
2646,5.0,Public
2647,120.0,Public
2648,150.0,Public
2649,27.0,Public
2650,60.0,Public
2651,50.71428571428572,Public
2652,5.0,Public
2653,51.0,Public
2654,30.0,Public
2655,30.0,Public
2656,15.0,Public
2657,19.0,Public
2658,20.0,Public
2659,15.0,Public
2660,33.333333333333336,Public
2661,7.0,Public
2662,10.0,Public
2663,12.0,Public
2664,19.0,Public
2665,12.0,Public
2666,45.0,Public
2667,30.0,Public
2668,90.0,Public
2669,10.0,Public
2670,15.0,Public
2671,5.0,Public
2672,5.0,Public
2673,10.0,Public
2674,20.0,Public
2675,31.5,Public
2676,48.0,Public
2677,12.333333333333334,Public
2678,5.0,Public
2679,6.5,Public
2680,20.0,Public
2681,45.0,Public
2682,20.0,Public
2683,29.0,Public
2684,15.0,Public
2685,60.0,Public
2686,5.0,Public
2687,30.0,Public
2688,18.0,Public
2689,10.0,Public
2690,15.0,Public
2691,5.0,Public
2692,10.0,Public
2693,10.0,Public
2694,10.0,Public
2695,5.0,Public
2696,10.0,Public
2697,10.0,Public
2698,88.5,Public
2699,15.0,Public
2700,8.0,Public
2701,20.0,Public
2702,5.0,Public
2703,8.0,Public
2704,5.0,Public
2705,12.0,Public
2706,5.0,Public
2707,30.0,Public
2708,69.5,Public
2709,62.0,Public
2710,30.0,Public
2711,75.0,Public
2712,20.0,Public
2713,10.0,Public
2714,100.0,Public
2715,10.0,Public
2716,45.0,Public
2717,10.0,Public
2718,28.0,Public
2719,90.0,Public
2720,10.0,Public
2721,15.0,Public
2722,210.0,Public
2723,5.0,Public
2724,5.0,Public
2725,5.0,Public
2726,28.0,Public
2727,5.0,Public
2728,20.0,Public
2729,10.0,Public
2730,20.0,Public
2731,1.0,Public
2732,17.0,Public
2733,38.333333333333336,Public
2734,12.5,Public
2735,120.0,Public
2736,49.0,Public
2737,5.0,Public
2738,35.0,Public
2739,5.0,Public
2740,40.0,Public
2741,25.0,Public
2742,20.0,Public
2743,5.0,Public
2744,30.0,Public
2745,22.0,Public
2746,66.5,Public
2747,30.0,Public
2748,20.0,Public
2749,45.0,Public
2750,5.0,Public
2751,30.0,Public
2752,20.0,Public
2753,9.0,Public
2754,30.0,Public
2755,15.0,Public
2756,5.0,Public
2757,64.33333333333333,Public
2758,5.0,Public
2759,20.0,Public
2760,24.0,Public
2761,60.0,Public
2762,190.0,Public
2763,20.0,Public
2764,45.0,Public
2765,8.0,Public
2766,18.0,Public
2767,15.0,Public
2768,5.0,Public
2769,86.0,Public
2770,30.0,Public
2771,10.0,Public
2772,20.0,Public
2773,26.666666666666668,Public
2774,45.0,Public
2775,20.0,Public
2776,5.0,Public
2777,12.0,Public
2778,10.0,Public
2779,30.0,Public
2780,15.0,Public
2781,10.0,Public
2782,17.0,Public
2783,60.0,Public
2784,4.0,Public
2785,15.0,Public
2786,60.0,Public
2787,20.0,Public
2788,110.0,Public
2789,15.0,Public
2790,125.5,Public
2791,5.0,Public
2792,30.0,Public
2793,5.0,Public
2794,16.0,Public
2795,10.0,Public
2796,60.0,Public
2797,15.0,Public
2798,9.0,Public
2799,5.0,Public
2800,10.0,Public
2801,8.0,Public
2802,248.0,Public
2803,15.0,Public
2804,30.0,Public
2805,20.0,Public
2806,10.0,Public
2807,55.0,Public
2808,60.0,Public
2809,5.0,Public
2810,24.0,Public
2811,26.5,Public
2812,9.0,Public
2813,5.0,Public
2814,30.0,Public
2815,10.0,Public
2816,1.0,Public
2817,87.0,Public
2818,18.0,Public
2819,65.0,Public
2820,14.0,Public
2821,15.0,Public
2822,15.0,Public
2823,15.0,Public
2824,20.0,Public
2825,1.0,Public
2826,60.0,Public
2827,2.0,Public
2828,0.0,Public
2829,60.0,Public
2830,5.0,Public
2831,5.0,Public
2832,60.0,Public
2833,63.0,Public
2834,5.0,Public
2835,10.0,Public
2836,15.0,Public
2837,24.0,Public
2838,5.0,Public
2839,30.0,Public
2840,11.0,Public
2841,240.0,Public
2842,40.0,Public
2843,5.0,Public
2844,8.0,Public
2845,15.0,Public
2846,10.0,Public
2847,60.0,Public
2848,9.0,Public
2849,30.0,Public
2850,20.5,Public
2851,45.0,Public
2852,20.0,Public
2853,5.0,Public
2854,75.0,Public
2855,15.0,Public
2856,15.0,Public
2857,105.0,Public
2858,15.0,Public
2859,45.0,Public
2860,30.0,Public
2861,20.0,Public
2862,10.0,Public
2863,35.0,Public
2864,21.0,Public
2865,12.0,Public
2866,5.0,Public
2867,1.0,Public
2868,30.0,Public
2869,15.0,Public
2870,5.0,Public
2871,5.0,Public
2872,45.0,Public
2873,20.0,Public
2874,30.0,Public
